Image,Title,Rating,Price,Result_Type
https://m.media-amazon.com/images/I/81leoJuYYaL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",4.2 out of 5 stars,"47,400",Ad
https://m.media-amazon.com/images/I/61CHy-sShhL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 1 AMD Ryzen 7 5700U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1 Year Warranty + 1 Year ADP/Cloud Grey/1.6Kg), 82R400EFIN",3.8 out of 5 stars,"41,899",Ad
https://m.media-amazon.com/images/I/71Q6JmLZE7L._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3""(38.8cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Win 11/Office Home 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100CGIN",4.0 out of 5 stars,"57,570",Ad
https://m.media-amazon.com/images/I/81Be1f26lVL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3, Intel Core i3 13th Gen 1315U, 8GB RAM, 512GB SSD, FHD 15.6""(39.6cm), Windows 11, Office 2024, Grey, 1.6Kg, 82X700G5IN, Alexa Built-in, 1Yr ADP Free, 3 Month Game Pass Laptop",3.9 out of 5 stars,"37,990",Ad
https://m.media-amazon.com/images/I/71EwQWH7UvL._AC_UY218_.jpg,"ASUS Vivobook 14, Intel Core i3 13th Gen 1315U, 8GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Cool Silver, 1.40kg, X1404VA-NK761WS, Intel UHD, M365 Basic (1Year)*, Backlit Keyboard Laptop",3.9 out of 5 stars,"34,415",Organic
https://m.media-amazon.com/images/I/81eLpuK0YcL._AC_UY218_.jpg,Ultimus APEX Bold N Intel Pentium Quad Core Laptop 8GB RAM 256 GB SSD Expandable~1TB Ultra Thin Bezel 180° Hinge 2.0x1 3.0x1 USB HDMI SD Card Slot ‎Dual Speaker Win11 Home 1.2KG Cloud Silver,3.7 out of 5 stars,"16,490",Organic
https://m.media-amazon.com/images/I/61QY1NrWQBL._AC_UY218_.jpg,"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA",3.8 out of 5 stars,"14,990",Organic
https://m.media-amazon.com/images/I/81rRMwFG0+L._AC_UY218_.jpg,"Dyazo Water Resistant Laptop Sleeve/Laptop case/laptop cover with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey",4.3 out of 5 stars,299,Organic
https://m.media-amazon.com/images/I/71pKJ+Mjd8L._AC_UY218_.jpg,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue",4.6 out of 5 stars,"93,900",Organic
https://m.media-amazon.com/images/I/71Z4mSII9BL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i5-1334U, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",3.8 out of 5 stars,"52,490",Organic
